"name","path","level","rarity","tooltip","restriction","acquisition"
"Spider Leg","https://ucarecdn.com/0276f88b-ab9e-479f-95d7-00ccd9fa6886/BTNAlleriaFlute.png",2,"Common","<span style='color: #87ceeb'>Non-Combat Consumable</span><br>Regenerates 2000 health over 45 seconds.",NA,"Infested Woods"
"Apprentice Robes","https://ucarecdn.com/a4a3fa50-44c3-491c-b7be-ed935adb6bca/BTNRobeOfTheMagi.png",3,"Common","Increases Armor by 1 and Intelligence by 3.","Cannot be used by Warrior classes","Field Equipment; Incursion Point"
"Leather Armor","https://ucarecdn.com/91b69bf6-d5f2-400a-a698-c643897dd6ce/BTNLeatherUpgradeOne.png",3,"Common","Increases Armor by 3.",NA,"Field Equipment; Incursion Point"
"Medallion of Minor Stamina","https://ucarecdn.com/960d545b-28af-4336-90a7-7f752d66b31c/BTNMedalionOfCourage.png",3,"Common","Increases Health by 100.",NA,"Field Equipment; Incursion Point; Nukacha"
"Pendant of Minor Mana","https://ucarecdn.com/40fc2f8a-0832-49b9-9071-abb6f49d6aa6/BTNAmulet.png",3,"Common","Increases Mana by 75.","Cannot be used by Warrior classes","Field Equipment; Nukacha"
"Ring of Minor Life Regeneration","https://ucarecdn.com/aa71891d-405c-4261-8e03-6f236200def2/BTNRingSkull.png",3,"Common","Increases Health Regeneration by 3.",NA,"Minor Items; Field Equipment; Incursion Point; Nukacha"
"Ring of Minor Mana Regeneration","https://ucarecdn.com/ef4fbf5b-fd35-4874-9a80-a3e3ad29e571/BTNRingPurple.png",3,"Common","Grants <span style='color: #c3dbff'>Mana Regeneration I</span>.<br><br><span style='color: #c3dbff'>Mana Regeneration I</span>—Gain 10% increased Mana Regeneration.","Cannot be used by Warrior classes","Field Equipment"
"Talisman of Minor Spell Power","https://ucarecdn.com/140e9db9-5b7f-4108-9c43-93b5562913b5/BTNPipeOfInsight.png",3,"Common","Increases Spell Power by 30.","Cannot be used by Warrior classes","Field Equipment; Incursion Point"
"War Axe","https://ucarecdn.com/dcef4b21-20a7-4bfa-8959-09b56f760390/BTNOrcMeleeUpOne.png",3,"Common","Increases Attack Damage by 7.",NA,"Field Equipment"
"Boots of Lesser Agility","https://ucarecdn.com/78038605-75be-4033-bd8f-518896458098/BTNBoots.png",10,"Common","Increases Agility by 8.",NA,"Minor Items; Weapons and Armor; Armorsmith Level 10; Mance Swiftsword; 5  ≤ Mob Level ≤ 20 "
"Broadsword","https://ucarecdn.com/41c798ff-c661-43d6-a6c4-05b164d30a49/BTNSteelMelee.png",10,"Common","Increases Attack Damage by 15.",NA,"Minor Items; Weapons and Armor; Weaponsmith Level 1; Atlas; Forest Terror; 5  ≤ Mob Level ≤ 20 "
"Gauntlets of Lesser Might","https://ucarecdn.com/ac6c2678-be09-4727-b3e7-48fc31482106/BTNGauntletsOfOgrePower.png",10,"Common","Increases Strength by 8.",NA,"Minor Items; Weapons and Armor; Armorsmith Level 10; Mance Swiftsword; 5  ≤ Mob Level ≤ 20 "
"Lesser Firehand Gauntlets","https://ucarecdn.com/b34c0e10-0d1d-4e9d-96b7-33ba85fb2683/BTNAdvancedUnholyStrength.png",10,"Common","Increases Attack Speed by 20%.",NA,"Goldsmith Level 10; Atlas; 5  ≤ Mob Level ≤ 20 "
"Mail Shirt","https://ucarecdn.com/65397ab9-6785-4df6-921e-58287e110e54/BTNReinforcedHides.png",10,"Common","Increases Armor by 10.",NA,"Minor Items; Weapons and Armor; Armorsmith Level 1; Atlas; Forest Terror; 5  ≤ Mob Level ≤ 20 "
"Medallion of Lesser Stamina","https://ucarecdn.com/e6a5531d-b92b-4ee5-b74b-838243aa28eb/BTNPeriapt.png",10,"Common","Increases Health by 300.",NA,"Trinkets; Goldsmith Level 1; Forest Terror; Mance Swiftsword; 5  ≤ Mob Level ≤ 20 "
"Orb of Lesser Life Regeneration","https://ucarecdn.com/41d7f834-b499-47b8-9245-977cbb02abc2/BTNOrbOfVenom.png",10,"Common","Increases Health Regeneration by 5.",NA,"Greater Items; Trinkets; Goldsmith Level 5; 5  ≤ Mob Level ≤ 20 "
"Orb of Lesser Mana Regeneration","https://ucarecdn.com/6cbfce68-f0b8-4002-881d-98193cf4b4c8/BTNSoulGem.png",10,"Common","Grants <span style='color: #c3dbff'>Mana Regeneration II</span>.<br><br><span style='color: #c3dbff'>Mana Regeneration II</span>—Gain 15% increased Mana Regeneration.","Cannot be used by Warrior classes","Trinkets; Goldsmith Level 5; 5  ≤ Mob Level ≤ 20 "
"Pendant of Lesser Mana","https://ucarecdn.com/26c1e182-ed5e-46a7-8fb2-ecb396f4069b/BTNPendantOfMana.png",10,"Common","Increases Mana by 200.","Cannot be used by Warrior classes","Trinkets; Goldsmith Level 1; Forest Terror; Mance Swiftsword; 5  ≤ Mob Level ≤ 20 "
"Ring of Lesser Evasion","https://ucarecdn.com/0ce7c85c-967c-47a2-a2d3-c5cb0f4b7bea/BTNRingVioletSpider.png",10,"Common","<span style='color: #c3dbff'>Evasion I</span>—Gives a <span style='color: #FEBA0E'>5%</span> chance to avoid an auto-attack.",NA,"Trinkets; Goldsmith Level 10"
"Robes of Lesser Enlightenment","https://ucarecdn.com/e0a61c49-03e9-4a3a-87e8-6a1747f74e90/BTNMantleOfIntelligence.png",10,"Common","Increases Intelligence by 8.","Cannot be used by Warrior classes","Minor Items; Weapons and Armor; Armorsmith Level 10; Mance Swiftsword; 5  ≤ Mob Level ≤ 20 "
"Wand of Lesser Spell Power","https://ucarecdn.com/1f61a932-981d-4868-8d40-6c78846ec401/BTNWandOfNeutralization.png",10,"Common","Increases Spell Power by 75.","Cannot be used by Warrior classes","Weapons and Armor; Weaponsmith Level 1; Atlas; Forest Terror"
"Battle Wizard's Wand","https://ucarecdn.com/f660b8cd-3c0a-4695-bc67-5193cc3d70a6/BTNStaffOfSanctuary.png",15,"Common","Increases Intelligence by 6 and Spell Power by 75.","Cannot be used by Warrior classes","Weaponsmith Level 5"
"Battleaxe","https://ucarecdn.com/eed5c0ed-d5ac-4954-b4d9-06541e3188c6/BTNOrcMeleeUpTwo.png",15,"Common","Increases Attack Damage by 15 and Strength and Agility by 4.",NA,"Weaponsmith Level 5"
"Book of Skill Increase - Level 2","https://ucarecdn.com/5c5bbe07-d895-44cb-aaec-6da556ffa679/BTNNecromancerAdept.png",15,"Common","Increases one of your skills from Level 1 to 2.",NA,"Books"
"Buckler","https://ucarecdn.com/7653c6ae-1394-432b-86b2-600e6b532c9a/BTNSteelArmor.png",15,"Common","Increases Armor by 5.<br><br><span style='color: #c3dbff'>Evasion I</span>—Gives a <span style='color: #FEBA0E'>5%</span> chance to avoid an auto-attack.",NA,"Armorsmith Level 5; Atlas; Forest Terror; 5  ≤ Mob Level ≤ 20 "
"Circlet of Nobility","https://ucarecdn.com/44498f1c-af0e-4542-9194-ea0a2ec48508/BTNCirclet.png",15,"Common","Increases Strength, Intelligence and Agility by 5.","Cannot be used by Warrior classes","Minor Items; Goldsmith Level 10; Atlas; Mance Swiftsword; 5  ≤ Mob Level ≤ 20 "
"Athenian Mail","https://ucarecdn.com/3516eec7-d0bf-479a-8921-9eb336c9b2da/BTNImprovedReinforcedHides.png",30,"Common","Increases Armor by 15 and Health Regeneration by 10 Health per second.",NA,"Armorsmith Level 16; The Dark Knight; Rockwatcher Felblade"
"Boots of Agility","https://ucarecdn.com/78038605-75be-4033-bd8f-518896458098/BTNBoots.png",30,"Common","Increases Agility by 24.",NA,"Greater Items; Armorsmith Level 25; Thea; 26  ≤ Mob Level ≤ 100"
"Champion's Blade","https://ucarecdn.com/d94e4aa0-4dbb-4edd-9e44-20e91e2c176a/BTNArcaniteMelee.png",30,"Common","Increases Attack Damage by 45.",NA,"Greater Items; Weapons and Armor; Weaponsmith Level 16; Bullroarer; Forest Terror; 26  ≤ Mob Level ≤ 100"
"Champion's Plate","https://ucarecdn.com/2fc931f9-876b-4637-a745-b8ee48702d75/BTNImprovedMoonArmor.png",30,"Common","Increases Armor by 30.",NA,"Greater Items; Weapons and Armor; Armorsmith Level 16; Bullroarer; Forest Terror; 26  ≤ Mob Level ≤ 100"
"Firehand Gauntlets","https://ucarecdn.com/b34c0e10-0d1d-4e9d-96b7-33ba85fb2683/BTNAdvancedUnholyStrength.png",30,"Common","Increases Attack Speed by 50%.",NA,"Greater Items; 26  ≤ Mob Level ≤ 100"
"Gauntlets of Might","https://ucarecdn.com/ac6c2678-be09-4727-b3e7-48fc31482106/BTNGauntletsOfOgrePower.png",30,"Common","Increases Strength by 24.",NA,"Greater Items; Armorsmith Level 25; Thea; 26  ≤ Mob Level ≤ 100"
